Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,GolosSofridos_x,DiferençaDeGolos,Pontos,GolosEsperados_x,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Golos_x,Assistências,Golos+Assistências,GolosEsperados_y,GolosEsperadosAssistidos_x,GolosEsperadosSemPenáltis_x,ConduçõesProgressivas,PassesProgressivos_x,GolosSofridos_y,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Golos_y,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,GolosEsperadosSemPenáltis_y,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,GolosEsperadosAssistidos_y,PassesChave,PassesProgressivos_y,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos
Sporting CP,30,20,7,3,54,20,34,67,,,,,30,83,,,,,,20,15,50.0,78.7,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,53.0
Porto,30,19,4,7,57,25,32,61,,,,,34,91,,,,,,25,10,33.3,76.6,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,57.0
Estoril,30,15,9,6,42,26,16,54,,,,,29,70,,,,,,26,12,40.0,75.2,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,41.0
Nacional,30,11,12,7,43,33,10,45,,,,,22,65,,,,,,33,10,33.3,71.1,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,43.0
Marítimo,30,11,8,11,40,44,-4,41,,,,,25,65,,,,,,44,5,16.7,67.2,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,40.0
Vitória Setúbal,30,10,9,11,41,41,0,39,,,,,26,65,,,,,,41,7,23.3,69.9,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,39.0
Académica,30,9,10,11,25,35,-10,37,,,,,19,44,,,,,,35,11,36.7,69.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,25.0
Braga,30,10,7,13,39,37,2,37,,,,,26,63,,,,,,37,5,16.7,69.4,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,37.0
Vitória,30,10,5,15,30,35,-5,35,,,,,19,48,,,,,,35,12,40.0,71.1,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,29.0
Rio Ave,30,8,8,14,21,35,-14,32,,,,,12,31,,,,,,35,10,33.3,72.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,19.0
Arouca,30,8,7,15,28,42,-14,31,,,,,17,44,,,,,,42,9,30.0,70.2,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,27.0
Gil Vicente,30,8,7,15,23,37,-14,31,,,,,15,38,,,,,,36,10,33.3,72.1,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,23.0
Belenenses,30,6,10,14,19,33,-14,28,,,,,12,31,,,,,,33,10,33.3,72.3,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,19.0
Paços de Ferreira,30,6,6,18,28,59,-31,24,,,,,12,39,,,,,,59,4,13.3,61.7,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,27.0
Olhanense,30,6,6,18,21,49,-28,24,,,,,9,30,,,,,,49,4,13.3,63.7,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-2014,21.0
Porto,30,24,6,0,70,14,56,78,,,,,45,115,,,,,,14,19,63.3,84.3,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,70.0
Benfica,30,24,5,1,77,20,57,77,,,,,47,122,,,,,,20,15,50.0,82.1,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,75.0
Paços de Ferreira,30,14,12,4,42,29,13,54,,,,,24,66,,,,,,29,12,40.0,74.6,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,42.0
Braga,30,16,4,10,60,44,16,52,,,,,38,97,,,,,,44,8,26.7,72.8,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,59.0
Estoril,30,13,6,11,47,37,10,45,,,,,27,71,,,,,,37,8,26.7,73.9,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,44.0
Rio Ave,30,12,6,12,35,42,-7,42,,,,,23,56,,,,,,42,6,20.0,61.5,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,33.0
Sporting CP,30,11,9,10,36,36,0,42,,,,,28,62,,,,,,36,7,23.3,74.6,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,34.0
Nacional,30,11,7,12,45,51,-6,40,,,,,23,63,,,,,,51,2,6.7,69.1,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,40.0
Vitória,30,11,7,12,36,47,-11,40,,,,,18,52,,,,,,47,6,20.0,64.9,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,34.0
Marítimo,30,9,11,10,34,45,-11,38,,,,,20,54,,,,,,45,8,26.7,66.7,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,34.0
Académica,30,6,10,14,33,45,-12,28,,,,,24,57,,,,,,45,6,20.0,63.7,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,33.0
Vitória Setúbal,30,7,5,18,30,55,-25,26,,,,,22,52,,,,,,55,8,26.7,64.3,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,30.0
Gil Vicente,30,6,7,17,31,54,-23,25,,,,,21,52,,,,,,54,7,23.3,70.2,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,31.0
Olhanense,30,5,10,15,26,42,-16,25,,,,,19,43,,,,,,43,7,23.3,71.1,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,24.0
Moreirense,30,5,9,16,30,51,-21,24,,,,,17,47,,,,,,51,3,10.0,66.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,30.0
Beira-Mar,30,5,8,17,35,55,-20,23,,,,,17,52,,,,,,55,1,3.3,68.9,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,35.0
Porto,30,23,6,1,69,19,50,75,,,,,47,114,,,,,,21,18,60.0,80.4,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,67.0
Benfica,30,21,6,3,66,27,39,69,,,,,45,110,,,,,,27,8,26.7,73.3,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,65.0
Braga,30,19,5,6,59,29,30,62,,,,,35,93,,,,,,29,10,33.3,75.2,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,58.0
Sporting CP,30,18,5,7,47,26,21,59,,,,,23,69,,,,,,26,14,46.7,73.5,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,46.0
Marítimo,30,14,8,8,41,38,3,50,,,,,25,66,,,,,,38,7,23.3,70.3,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,41.0
Vitória,30,14,3,13,40,40,0,45,,,,,27,67,,,,,,40,8,26.7,72.2,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,40.0
Nacional,30,13,5,12,48,50,-2,44,,,,,23,70,,,,,,50,8,26.7,67.5,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,47.0
Olhanense,30,9,12,9,36,38,-2,39,,,,,20,55,,,,,,38,8,26.7,73.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,35.0
Gil Vicente,30,8,10,12,31,42,-11,34,,,,,18,48,,,,,,42,10,33.3,69.8,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,30.0
Paços de Ferreira,30,8,7,15,35,53,-18,31,,,,,26,61,,,,,,53,3,10.0,64.7,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,35.0
Vitória Setúbal,30,8,6,16,24,49,-25,30,,,,,11,34,,,,,,49,6,20.0,66.9,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,23.0
Beira-Mar,30,8,5,17,26,38,-12,29,,,,,20,46,,,,,,38,9,30.0,72.7,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,26.0
Académica,30,7,8,15,27,38,-11,29,,,,,17,43,,,,,,38,10,33.3,72.9,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,26.0
Rio Ave,30,7,7,16,33,42,-9,28,,,,,21,54,,,,,,42,10,33.3,71.6,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,33.0
Feirense,30,5,9,16,27,49,-22,24,,,,,19,45,,,,,,49,7,23.3,65.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,26.0
União de Leiria,30,5,4,21,25,56,-31,19,,,,,12,36,,,,,,57,8,26.7,62.5,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-2012,24.0
Porto,30,27,3,0,73,16,57,84,,,,,43,114,,,,,,16,19,63.3,81.8,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,71.0
Benfica,30,20,3,7,61,31,30,63,,,,,37,98,,,,,,31,13,43.3,72.1,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,61.0
Sporting CP,30,13,9,8,41,31,10,48,,,,,24,65,,,,,,31,10,33.3,70.2,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,41.0
Braga,30,13,7,10,45,33,12,46,,,,,25,68,,,,,,33,10,33.3,69.7,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,43.0
Vitória,30,12,7,11,36,37,-1,43,,,,,21,56,,,,,,37,10,33.3,72.6,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,35.0
Nacional,30,11,9,10,28,31,-3,42,,,,,15,43,,,,,,31,11,36.7,75.4,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,28.0
Paços de Ferreira,30,10,11,9,35,42,-7,41,,,,,19,51,,,,,,42,9,30.0,70.6,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,32.0
Rio Ave,30,10,8,12,35,33,2,38,,,,,21,56,,,,,,33,11,36.7,73.4,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,35.0
Marítimo,30,9,8,13,33,32,1,35,,,,,21,54,,,,,,32,8,26.7,71.9,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,33.0
União de Leiria,30,9,8,13,25,38,-13,35,,,,,16,40,,,,,,38,10,33.3,67.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,24.0
Olhanense,30,7,13,10,24,34,-10,34,,,,,18,41,,,,,,34,10,33.3,67.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,23.0
Vitória Setúbal,30,8,10,12,29,42,-13,34,,,,,17,46,,,,,,42,8,26.7,70.2,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,29.0
Beira-Mar,30,7,12,11,32,36,-4,33,,,,,26,58,,,,,,36,6,20.0,74.5,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,32.0
Académica,30,7,9,14,32,48,-16,30,,,,,19,51,,,,,,48,7,23.3,66.7,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,32.0
Portimonense,30,6,7,17,29,49,-20,25,,,,,20,48,,,,,,49,4,13.3,70.1,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,28.0
Naval,30,5,8,17,26,51,-25,23,,,,,12,38,,,,,,51,4,13.3,67.1,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-2011,26.0
Benfica,30,24,4,2,78,20,58,76,,,,,51,128,,,,,,20,16,53.3,78.9,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,77.0
Braga,30,22,5,3,48,20,28,71,,,,,26,73,,,,,,20,15,50.0,82.1,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,47.0
Porto,30,21,5,4,70,26,44,68,,,,,36,106,,,,,,26,10,33.3,75.9,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,70.0
Sporting CP,30,13,9,8,42,26,16,48,,,,,28,69,,,,,,26,12,40.0,78.5,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,41.0
Marítimo,30,11,8,11,42,43,-1,41,,,,,14,53,,,,,,43,7,23.3,75.6,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,39.0
Vitória,30,11,8,11,31,34,-3,41,,,,,23,54,,,,,,34,15,50.0,76.9,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,31.0
Nacional,30,10,9,11,36,46,-10,39,,,,,16,52,,,,,,46,6,20.0,69.7,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,36.0
Naval,30,10,6,14,20,35,-15,36,,,,,15,33,,,,,,35,11,36.7,76.4,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,18.0
União de Leiria,30,9,8,13,35,41,-6,35,,,,,18,51,,,,,,41,10,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010,33.0
