Equipa,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperadosSofridos,DiferençaDeGolosEsperados,Assistências,Golos+Assistências,ConduçõesProgressivas,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,Assistencias,PassesChave,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,PosseDeBola,ToquesNaBola,ConducoesProgressivas,RececoesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos,%DeDuelosAéreosGanhos,Epoca,Golos,GolosSofridos,GolosEsperadosAssistidos,GolosEsperadosSemPenáltis,PassesProgressivos
Gil Vicente FC,34,11,10,13,40,-4,43,41.3,-3.1,26,66,482.0,8,23.5,65.5,119.0,37.6,-3.4,24.0,346.0,136.0,39.3,38.2,74.1,221103.0,87758.0,26.0,255.0,13945.0,13.0,176.0,622.0,18.29,69.0,2.03,543.0,381.0,310.0,924.0,611.0,47.5,17318.0,482.0,1133.0,-4.0,-0.12,-3.1,-0.09,45.6,2019-2020,40.0,44,25.5,33.5,1152.0
Marítimo,34,9,12,13,34,-8,39,48.3,-11.6,13,45,447.0,11,32.4,72.8,136.0,43.0,2.0,30.0,357.0,108.0,30.3,36.6,74.5,207463.0,82189.0,13.0,247.0,14004.0,20.0,134.0,602.0,17.71,53.0,1.56,532.0,347.0,338.0,879.0,764.0,47.1,17748.0,447.0,921.0,-8.0,-0.24,-11.6,-0.34,47.7,2019-2020,32.0,42,24.9,33.5,933.0
Boavista,34,10,9,15,28,-11,39,41.6,-8.5,16,42,372.0,9,26.5,75.9,137.0,41.3,4.3,20.0,397.0,118.0,29.7,33.0,70.5,175331.0,74618.0,16.0,251.0,12178.0,4.0,181.0,661.0,19.44,46.0,1.35,573.0,346.0,301.0,919.0,813.0,42.8,15824.0,372.0,891.0,-11.0,-0.32,-8.5,-0.25,49.4,2019-2020,26.0,39,20.3,29.9,902.0
Paços de Ferreira,34,11,6,17,36,-16,39,46.4,-11.4,22,56,425.0,6,17.6,66.7,132.0,48.3,-2.7,47.0,406.0,112.0,27.6,35.0,71.2,195152.0,82568.0,22.0,282.0,13013.0,11.0,148.0,680.0,20.0,60.0,1.76,525.0,328.0,283.0,853.0,683.0,46.9,16472.0,425.0,1123.0,-16.0,-0.47,-11.4,-0.34,49.4,2019-2020,34.0,52,24.4,31.8,1137.0
Tondela,34,9,9,16,30,-14,36,44.4,-1.8,14,43,446.0,10,29.4,70.9,141.0,40.0,-3.0,18.0,305.0,89.0,29.2,42.6,73.3,204978.0,82368.0,14.0,219.0,13921.0,11.0,197.0,550.0,16.18,46.0,1.35,444.0,344.0,275.0,788.0,747.0,45.8,17329.0,446.0,990.0,-14.0,-0.41,-1.8,-0.05,52.0,2019-2020,29.0,44,26.6,34.0,1000.0
B-SAD,34,9,8,17,27,-27,35,50.3,-18.9,14,37,409.0,9,26.5,70.5,166.0,52.0,0.0,33.0,306.0,80.0,26.1,31.4,74.1,210009.0,81774.0,14.0,209.0,14630.0,16.0,152.0,514.0,15.12,39.0,1.15,513.0,387.0,346.0,900.0,751.0,49.1,18183.0,409.0,972.0,-27.0,-0.79,-18.9,-0.56,46.3,2019-2020,23.0,54,21.1,29.0,983.0
Vitória Setúbal,34,7,13,14,27,-16,34,52.5,-24.8,20,46,421.0,13,38.2,74.5,149.0,44.4,2.4,49.0,312.0,100.0,32.1,27.7,74.1,191306.0,79775.0,20.0,218.0,13106.0,7.0,161.0,533.0,15.68,43.0,1.26,502.0,388.0,334.0,890.0,811.0,45.0,16866.0,421.0,836.0,-16.0,-0.47,-24.8,-0.73,50.5,2019-2020,26.0,43,20.3,26.9,841.0
Portimonense,34,7,12,15,30,-15,33,46.1,-9.6,22,51,469.0,7,20.6,67.5,126.0,45.0,2.0,47.0,393.0,115.0,29.3,36.5,75.0,239305.0,93718.0,22.0,283.0,15492.0,13.0,146.0,674.0,19.82,52.0,1.53,506.0,437.0,285.0,943.0,593.0,51.1,18984.0,469.0,1278.0,-15.0,-0.44,-9.6,-0.28,52.3,2019-2020,29.0,45,25.5,33.4,1290.0
Aves,34,5,2,27,24,-44,17,59.0,-30.1,13,37,402.0,4,11.8,64.6,161.0,59.6,-4.4,16.0,315.0,79.0,25.1,28.9,66.7,152443.0,66793.0,13.0,208.0,11379.0,10.0,137.0,522.0,15.35,38.0,1.12,531.0,380.0,324.0,911.0,774.0,41.3,15112.0,402.0,801.0,-44.0,-1.29,-30.1,-0.89,42.6,2019-2020,24.0,68,17.3,24.2,813.0
Benfica,34,28,3,3,103,72,87,35.1,46.4,70,172,719.0,15,44.1,78.0,118.0,37.9,9.9,28.0,567.0,222.0,39.2,81.5,80.0,269871.0,99684.0,70.0,403.0,18740.0,37.0,196.0,987.0,29.03,178.0,5.24,644.0,377.0,322.0,1021.0,580.0,59.6,22264.0,719.0,1705.0,72.0,2.12,46.4,1.36,54.8,2018-2019,102.0,31,55.0,74.6,1715.0
Porto,34,27,4,3,74,54,85,23.2,50.5,44,117,722.0,20,58.8,76.7,73.0,20.2,1.2,31.0,576.0,185.0,32.1,73.7,78.3,254398.0,95607.0,44.0,423.0,17256.0,31.0,156.0,1004.0,29.53,114.0,3.35,544.0,450.0,332.0,994.0,545.0,59.9,20981.0,722.0,1696.0,54.0,1.59,50.5,1.49,58.5,2018-2019,73.0,20,52.5,67.7,1709.0
Sporting CP,34,23,5,6,72,39,74,37.5,23.8,44,114,573.0,10,29.4,73.9,119.0,37.0,4.0,25.0,537.0,188.0,35.0,61.3,78.3,245845.0,96637.0,44.0,405.0,16713.0,18.0,134.0,984.0,28.94,128.0,3.76,568.0,399.0,331.0,967.0,570.0,56.6,20134.0,573.0,1486.0,39.0,1.15,23.8,0.7,53.4,2018-2019,70.0,33,39.5,50.1,1508.0
Braga,34,21,4,9,56,19,67,39.1,12.4,38,93,626.0,16,47.1,74.8,123.0,39.7,2.7,23.0,476.0,157.0,33.0,51.5,75.9,231845.0,89992.0,38.0,354.0,16018.0,25.0,93.0,844.0,24.82,95.0,2.79,615.0,401.0,375.0,1016.0,698.0,53.6,19495.0,626.0,1459.0,19.0,0.56,12.4,0.37,51.5,2018-2019,55.0,37,37.1,46.0,1466.0
Vitória,34,15,7,12,46,12,52,37.2,12.2,30,75,583.0,10,29.4,79.3,150.0,43.1,9.1,20.0,434.0,153.0,35.3,49.4,76.7,226423.0,85714.0,30.0,314.0,15566.0,14.0,161.0,768.0,22.59,77.0,2.26,514.0,354.0,328.0,868.0,738.0,52.1,19106.0,583.0,1251.0,12.0,0.35,12.2,0.36,47.4,2018-2019,45.0,34,33.1,41.5,1258.0
Moreirense,34,16,4,14,39,-5,52,48.0,-12.1,27,65,555.0,9,26.5,69.7,132.0,45.6,1.6,48.0,432.0,138.0,31.9,36.0,72.5,204336.0,88948.0,27.0,300.0,14371.0,15.0,123.0,728.0,21.41,66.0,1.94,562.0,435.0,317.0,997.0,690.0,48.2,17826.0,555.0,1348.0,-5.0,-0.15,-12.1,-0.35,52.0,2018-2019,38.0,44,25.8,35.2,1359.0
Rio Ave,34,12,9,13,50,-2,45,56.3,-10.7,30,79,544.0,5,14.7,74.2,163.0,54.4,3.4,35.0,374.0,128.0,34.2,45.5,78.5,235565.0,88227.0,30.0,263.0,15487.0,26.0,158.0,646.0,19.0,84.0,2.47,478.0,353.0,344.0,831.0,821.0,52.9,19023.0,544.0,1189.0,-2.0,-0.06,-10.7,-0.32,49.5,2018-2019,49.0,52,32.0,41.7,1198.0
Boavista,34,13,5,16,34,-6,44,50.7,-8.2,24,57,337.0,14,41.2,78.6,159.0,47.7,9.7,20.0,391.0,111.0,28.4,42.4,69.2,166223.0,74404.0,24.0,255.0,12104.0,11.0,88.0,664.0,19.53,57.0,1.68,548.0,484.0,347.0,1032.0,991.0,44.9,15916.0,337.0,868.0,-6.0,-0.18,-8.2,-0.24,49.4,2018-2019,33.0,40,28.3,39.3,880.0
B-SAD,34,10,13,11,42,-9,43,51.9,-12.0,20,61,538.0,13,38.2,71.5,151.0,54.7,5.7,31.0,343.0,115.0,33.5,39.9,77.6,244308.0,87888.0,20.0,229.0,15951.0,35.0,176.0,583.0,17.15,65.0,1.91,511.0,455.0,335.0,966.0,789.0,52.6,19414.0,538.0,972.0,-9.0,-0.26,-12.0,-0.35,49.8,2018-2019,41.0,51,26.4,35.2,982.0
Santa Clara,34,11,9,14,43,-2,42,49.2,-8.2,26,66,431.0,9,26.5,76.5,153.0,49.7,4.7,21.0,370.0,118.0,31.9,41.1,71.3,189117.0,77850.0,26.0,242.0,13390.0,9.0,122.0,627.0,18.44,65.0,1.91,472.0,440.0,370.0,912.0,796.0,47.4,16874.0,431.0,1019.0,-2.0,-0.06,-8.2,-0.24,47.2,2018-2019,40.0,45,27.9,37.1,1030.0
Marítimo,34,12,3,19,26,-18,39,56.2,-25.1,15,41,448.0,10,29.4,77.4,155.0,49.2,6.2,19.0,333.0,89.0,26.7,31.1,71.5,192201.0,78222.0,15.0,234.0,13448.0,12.0,133.0,573.0,16.85,44.0,1.29,541.0,436.0,357.0,977.0,860.0,45.8,17042.0,448.0,967.0,-18.0,-0.53,-25.1,-0.74,48.2,2018-2019,26.0,44,21.4,27.9,976.0
Portimonense,34,11,6,17,44,-15,39,47.4,1.3,28,69,555.0,5,14.7,65.8,158.0,53.4,-3.6,27.0,458.0,164.0,35.8,48.7,73.8,209098.0,88334.0,28.0,332.0,14240.0,19.0,118.0,784.0,23.06,69.0,2.03,534.0,405.0,324.0,939.0,761.0,48.8,17971.0,555.0,1191.0,-15.0,-0.44,1.3,0.04,50.8,2018-2019,41.0,59,33.2,44.0,1204.0
Vitória Setúbal,34,8,12,14,28,-11,36,39.6,-5.5,21,49,379.0,11,32.4,73.3,135.0,38.2,0.2,19.0,355.0,115.0,32.4,34.0,67.9,173449.0,83735.0,21.0,231.0,12181.0,7.0,109.0,592.0,17.41,49.0,1.44,536.0,408.0,334.0,944.0,711.0,45.5,15547.0,379.0,1008.0,-11.0,-0.32,-5.5,-0.16,53.3,2018-2019,28.0,39,24.1,30.9,1016.0
Aves,34,10,6,18,35,-14,36,42.9,2.2,18,53,410.0,9,26.5,69.7,152.0,44.8,-2.2,14.0,460.0,135.0,29.3,45.1,68.7,169635.0,79666.0,18.0,324.0,12106.0,16.0,86.0,770.0,22.65,59.0,1.74,588.0,424.0,316.0,1012.0,879.0,42.3,15878.0,410.0,1019.0,-14.0,-0.41,2.2,0.06,48.9,2018-2019,35.0,49,28.9,40.4,1028.0
Tondela,34,9,8,17,40,-14,35,58.2,-15.7,27,65,351.0,4,11.8,67.5,151.0,54.5,0.5,19.0,401.0,125.0,31.2,42.5,66.5,173993.0,82088.0,27.0,251.0,12761.0,23.0,88.0,649.0,19.09,64.0,1.88,556.0,394.0,349.0,950.0,758.0,45.9,16281.0,351.0,997.0,-14.0,-0.41,-15.7,-0.46,44.8,2018-2019,38.0,54,28.9,39.3,1007.0
Chaves,34,8,8,18,34,-23,32,54.2,-15.8,21,55,512.0,8,23.5,65.6,151.0,53.4,-1.6,27.0,365.0,102.0,27.9,38.4,70.4,181137.0,78166.0,21.0,257.0,12986.0,11.0,91.0,638.0,18.76,61.0,1.79,567.0,423.0,360.0,990.0,808.0,46.2,16559.0,512.0,1188.0,-23.0,-0.68,-15.8,-0.47,44.3,2018-2019,34.0,57,26.6,32.2,1198.0
Nacional,34,7,7,20,33,-40,28,56.1,-11.3,21,54,568.0,8,23.5,61.3,163.0,64.3,-7.7,46.0,438.0,125.0,28.5,44.8,72.2,200610.0,79359.0,21.0,305.0,13829.0,8.0,156.0,756.0,22.24,55.0,1.62,560.0,443.0,333.0,1003.0,640.0,51.0,17274.0,568.0,1166.0,-40.0,-1.18,-11.3,-0.33,49.6,2018-2019,33.0,73,27.0,37.8,1180.0
Feirense,34,3,11,20,27,-37,20,52.1,-24.2,17,42,320.0,6,17.6,64.5,166.0,53.3,-8.7,28.0,285.0,92.0,32.3,28.0,68.4,174812.0,77893.0,17.0,190.0,12763.0,10.0,98.0,472.0,13.88,42.0,1.24,532.0,415.0,312.0,947.0,743.0,46.8,16118.0,320.0,905.0,-37.0,-1.09,-24.2,-0.71,48.2,2018-2019,25.0,64,17.6,24.0,918.0
Porto,34,28,4,2,82,64,88,0.0,0.0,59,141,0.0,19,55.9,81.4,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,18,0.0,0.0,0.0
Benfica,34,25,6,3,80,58,81,0.0,0.0,59,138,0.0,15,44.1,75.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,22,0.0,0.0,0.0
Sporting CP,34,24,6,4,63,39,78,0.0,0.0,43,105,0.0,17,50.0,83.2,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,24,0.0,0.0,0.0
Braga,34,24,3,7,74,45,75,0.0,0.0,57,130,0.0,14,41.2,77.6,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,29,0.0,0.0,0.0
Rio Ave,34,15,6,13,40,-2,51,0.0,0.0,25,64,0.0,10,29.4,75.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,42,0.0,0.0,0.0
Chaves,34,13,8,13,47,-8,47,0.0,0.0,29,76,0.0,7,20.6,68.1,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,55,0.0,0.0,0.0
Marítimo,34,13,8,13,36,-13,47,0.0,0.0,26,62,0.0,10,29.4,68.7,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,49,0.0,0.0,0.0
Boavista,34,13,6,15,35,-9,45,0.0,0.0,23,58,0.0,11,32.4,73.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,44,0.0,0.0,0.0
Vitória,34,13,4,17,45,-11,43,0.0,0.0,31,76,0.0,7,20.6,66.7,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,56,0.0,0.0,0.0
Portimonense,34,10,8,16,52,-8,38,0.0,0.0,39,91,0.0,4,11.8,64.7,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,60,0.0,0.0,0.0
Tondela,34,10,8,16,41,-9,38,0.0,0.0,29,68,0.0,8,23.5,69.6,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,50,0.0,0.0,0.0
Belenenses,34,9,10,15,33,-13,37,0.0,0.0,22,54,0.0,10,29.4,73.8,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,46,0.0,0.0,0.0
Aves,34,9,7,18,36,-15,34,0.0,0.0,26,61,0.0,10,29.4,71.9,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,51,0.0,0.0,0.0
Vitória Setúbal,34,7,11,16,39,-23,32,0.0,0.0,25,64,0.0,5,14.7,68.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,62,0.0,0.0,0.0
Moreirense,34,8,8,18,29,-21,32,0.0,0.0,13,40,0.0,5,14.7,71.9,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,50,0.0,0.0,0.0
Feirense,34,9,4,21,32,-16,31,0.0,0.0,21,51,0.0,9,26.5,71.1,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,48,0.0,0.0,0.0
Paços de Ferreira,34,7,9,18,33,-26,30,0.0,0.0,25,55,0.0,8,23.5,66.5,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,59,0.0,0.0,0.0
Estoril,34,8,6,20,29,-32,30,0.0,0.0,15,42,0.0,7,20.6,64.9,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,0.0,61,0.0,0.0,0.0
Benfica,34,25,7,2,72,54,82,0.0,0.0,34,102,0.0,20,58.8,76.6,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,18,0.0,0.0,0.0
Porto,34,22,10,2,71,52,76,0.0,0.0,45,115,0.0,19,55.9,77.5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,19,0.0,0.0,0.0
Sporting CP,34,21,7,6,68,32,70,0.0,0.0,45,113,0.0,13,38.2,69.8,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,36,0.0,0.0,0.0
Vitória,34,18,8,8,50,11,62,0.0,0.0,33,81,0.0,12,35.3,72.7,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,39,0.0,0.0,0.0
Braga,34,15,9,10,51,15,54,0.0,0.0,29,78,0.0,10,29.4,77.8,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,36,0.0,0.0,0.0
Marítimo,34,13,11,10,34,2,50,0.0,0.0,24,57,0.0,14,41.2,76.7,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,32,0.0,0.0,0.0
Rio Ave,34,14,7,13,41,2,49,0.0,0.0,26,64,0.0,13,38.2,73.2,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,39,0.0,0.0,0.0
Feirense,34,14,6,14,31,-14,48,0.0,0.0,19,48,0.0,9,26.5,74.4,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,45,0.0,0.0,0.0
Boavista,34,10,13,11,33,-3,43,0.0,0.0,19,52,0.0,14,41.2,71.9,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,36,0.0,0.0,0.0
Estoril,34,10,8,16,36,-6,38,0.0,0.0,16,49,0.0,8,23.5,70.5,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,42,0.0,0.0,0.0
Chaves,34,8,14,12,35,-7,38,0.0,0.0,16,50,0.0,12,35.3,76.1,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,42,0.0,0.0,0.0
Vitória Setúbal,34,10,8,16,30,-9,38,0.0,0.0,16,44,0.0,11,32.4,73.8,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,39,0.0,0.0,0.0
Paços de Ferreira,34,8,12,14,32,-13,36,0.0,0.0,22,54,0.0,9,26.5,69.2,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,45,0.0,0.0,0.0
Belenenses,34,9,9,16,27,-18,36,0.0,0.0,15,41,0.0,8,23.5,67.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,45,0.0,0.0,0.0
