Equipa,Desarmes,Intercecoes,Bloqueamentos,Desarmes+Intercecoes,Alivios,GolosSofridos,JogosSemSofrerGolos,%DeJogosSemSofrerGolos,%DeDefesas,RematesÀBalizaSofridos,GolosEsperadosAposRemate,GolosEsperadosAposRemate+/-,AcoesForaDaGrandeArea,AcoesQueCriamRemates,AcoesQueCriamRematesPor90minutos,AcoesQueCriamGolos,AcoesQueCriamGolosPor90minutos,%DeDuelosAereosGanhos,JogosDisputados,Vitórias,Empates,Derrotas,GolosMarcados,DiferençaDeGolos,Pontos,GolosEsperados,GolosEsperadosSofridos,DiferençaDeGolosEsperados,%DePassesCompletos,DistanciaTotalPercorrida,DistanciaProgressivaPercorrida,GolosEsperadosAssistidos,PassesChave,PassesProgressivos,TentativasDePasse,BolasEmProfundidade,InversoesDeJogo,PosseDeBola,ToquesNaBola,RececoesProgressivas,Remates,RematesÀBaliza,%DeRematesÀBaliza,GolosEsperadosSemPenáltis,Assistências,ConduçõesProgressivas,SaldoDeGolos+/-,SaldoDeGolos+/-Por90minutos,SaldoDeGolosEsperados+/-,SaldoDeGolosEsperados+/-Por90minutos
Arouca,552,297,376,849,852,49,8,23.5,71.4,140,46.1,-0.9,50,699,20.56,60,1.76,48.8,34,9,11,14,35,-14,38,40.7,46.6,-6.0,79.0,228976,85117,25.2,262,1184,15955,70,76,52.3,19785,1175,390,119,30.5,33.5,18,418,-14,-0.41,-6.0,-0.18
AVS Futebol,565,303,390,868,929,60,8,23.5,67.4,175,60.5,1.5,24,594,17.47,44,1.29,54.6,34,5,12,17,25,-35,27,31.7,55.0,-23.3,75.7,191661,76821,22.0,242,877,13626,28,69,44.0,17581,863,341,87,25.5,27.7,17,388,-35,-1.03,-23.3,-0.68
Benfica,625,311,316,936,493,28,15,44.1,75.5,106,34.5,6.5,19,989,29.09,140,4.12,55.4,34,25,5,4,84,56,80,78.8,29.2,49.5,82.1,278683,97148,55.5,425,1874,18762,85,167,58.0,22577,1861,559,213,38.1,69.7,58,684,56,1.65,49.5,1.46
Boavista,565,313,336,878,843,59,7,20.6,69.4,173,57.1,1.1,25,587,17.26,33,0.97,49.1,34,6,6,22,24,-35,24,32.1,56.2,-24.0,71.3,163678,69336,17.5,229,886,12251,40,92,40.3,15990,880,345,102,29.6,26.9,8,264,-35,-1.03,-24.0,-0.71
Braga,571,280,333,851,795,30,15,44.1,78.0,123,31.0,2.0,59,808,23.76,96,2.82,48.3,34,19,9,6,55,25,66,51.3,34.2,17.1,81.1,279688,90896,36.9,346,1510,18810,49,97,56.8,22526,1496,459,155,33.8,46.5,40,602,25,0.74,17.1,0.5
Casa Pia,497,297,364,794,907,44,7,20.6,77.3,163,45.4,2.4,27,557,16.38,63,1.85,49.7,34,12,9,13,39,-5,45,33.3,45.1,-11.8,75.5,193547,74313,22.9,221,960,13791,37,112,46.7,17574,951,314,98,31.2,30.2,26,397,-5,-0.15,-11.8,-0.35
Estoril,530,324,331,854,901,53,7,20.6,69.5,151,56.1,3.1,56,578,17.0,76,2.24,47.4,34,12,10,12,48,-5,46,41.3,58.2,-16.9,78.4,208632,80292,27.3,244,1053,15103,51,86,48.9,19080,1039,328,112,34.1,34.9,28,403,-5,-0.15,-16.9,-0.5
Estrela,613,306,388,919,969,50,7,20.6,69.8,149,49.1,1.1,30,539,15.85,41,1.21,48.1,34,7,8,19,24,-26,29,29.4,45.7,-16.3,73.3,180030,72137,18.8,227,875,12566,59,86,44.8,16764,863,327,89,27.2,26.3,16,354,-26,-0.76,-16.3,-0.48
Famalicão,560,296,323,856,800,39,13,38.2,74.6,138,47.0,9.0,27,685,20.15,74,2.18,52.4,34,12,11,11,44,5,47,39.1,43.0,-3.9,78.0,217884,81286,24.9,271,1250,15101,28,161,50.4,18939,1230,381,124,32.5,34.4,29,437,5,0.15,-3.9,-0.12
Farense,589,327,390,916,992,46,7,20.6,72.8,147,47.2,3.2,25,641,18.85,43,1.26,48.7,34,6,9,19,25,-21,27,30.5,51.4,-20.9,70.1,170392,72021,21.4,264,877,11632,20,107,41.3,15786,866,384,114,29.7,28.2,18,354,-21,-0.62,-20.9,-0.61
Gil Vicente FC,539,310,357,849,868,47,7,20.6,68.0,128,44.0,-2.0,36,578,17.0,54,1.59,48.8,34,8,10,16,34,-13,34,33.8,42.1,-8.3,80.6,244400,82726,24.6,246,1100,16155,55,115,50.6,19987,1091,325,95,29.2,30.7,20,451,-13,-0.38,-8.3,-0.24
Moreirense,547,283,336,830,1015,50,7,20.6,67.2,137,46.7,-3.3,30,622,18.29,67,1.97,47.2,34,10,10,14,42,-8,40,33.4,39.5,-6.1,78.3,200798,74493,21.9,262,936,14487,25,79,47.5,18482,927,342,125,36.5,29.5,28,416,-8,-0.24,-6.1,-0.18
Nacional,555,287,387,842,878,50,8,23.5,73.7,156,51.7,1.7,26,779,22.91,52,1.53,49.9,34,9,7,18,32,-18,34,37.8,48.2,-10.4,74.6,194690,74456,25.6,333,960,13055,46,165,47.5,17042,955,451,129,28.6,33.9,21,466,-18,-0.53,-10.4,-0.31
Porto,472,253,300,725,521,30,16,47.1,74.2,93,32.5,3.5,53,872,25.65,115,3.38,50.7,34,22,5,7,65,35,71,56.5,30.4,26.1,84.0,289504,92682,37.8,363,1644,19080,75,100,61.7,22533,1631,474,170,35.9,47.8,44,578,35,1.03,26.1,0.77
Rio Ave,597,312,359,909,959,55,5,14.7,69.2,169,53.1,3.1,29,646,19.0,60,1.76,48.0,34,9,11,14,39,-16,38,38.9,54.4,-15.5,78.4,214360,79707,25.0,261,1051,14661,40,95,47.8,18711,1041,371,123,33.2,35.8,20,493,-16,-0.47,-15.5,-0.46
Santa Clara,559,288,335,847,966,32,11,32.4,75.4,114,29.1,-2.9,27,631,18.56,54,1.59,51.5,34,17,6,11,36,4,57,42.6,32.9,9.7,73.5,177459,66893,28.6,261,867,13021,39,96,44.6,16921,858,378,124,32.8,39.4,25,401,4,0.12,9.7,0.28
Sporting CP,545,252,318,797,556,27,15,44.1,68.5,73,24.2,-0.8,36,1108,32.59,145,4.26,53.1,34,25,7,2,88,61,82,72.2,23.4,48.8,85.4,281706,93683,50.1,482,1786,19150,66,94,60.1,22870,1767,611,210,34.4,62.6,56,797,61,1.79,48.8,1.43
Vitória,528,267,319,795,764,37,13,38.2,68.0,100,32.9,-4.1,35,778,22.88,74,2.18,49.8,34,14,12,8,47,10,54,44.6,32.4,12.2,80.7,251517,93103,31.3,322,1535,17462,50,102,56.7,21137,1526,444,141,31.8,42.2,27,504,10,0.29,12.2,0.36
